VRF VLAN PORT ROUTER_MAC_OUT ROUTER_MAC_IN ROUTER_MAC_DEST Egress_ID Ingress_ID
3    3    1    {0x00, 0x00, 0x24, 0x38, 0x60, 0x86} {0x00, 0x02, 0x16, 0x35, 0x30, 0x82} {0x00, 0x01, 0xff, 0x3a, 0xae, 0x7c} 100003     3 10.3.3.1
2    2    22   {0x00, 0x03, 0xc8, 0x39, 0x58, 0xd5} {0x00, 0x04, 0x8b, 0x84, 0xdf, 0x28} {0x00, 0x01, 0xff, 0x3a, 0xae, 0x7c} 100004     4 10.2.2.1
4    4    2    {0x00, 0x05, 0x46, 0x28, 0xd6, 0x7c} {0x00, 0x07, 0x29, 0x1d, 0x02, 0x65} {0x00, 0x06, 0xd6, 0x2d, 0xdb, 0xe4} 100005     5 10.4.4.1
2    2    43   {0x00, 0x08, 0xe5, 0xa6, 0x0c, 0x19} {0x00, 0x09, 0xba, 0x21, 0xd1, 0xae} {0x00, 0x06, 0xd6, 0x2d, 0xdb, 0xe4} 100006     6 10.2.2.1
7    7    3    {0x00, 0x0a, 0xbf, 0xfe, 0xa8, 0x91} {0x00, 0x0c, 0xcb, 0xe6, 0x06, 0x27} {0x00, 0x0b, 0x90, 0xda, 0x6a, 0x56} 100007     7 10.7.7.1
2    2    123  {0x00, 0x0d, 0x4b, 0x20, 0xef, 0x09} {0x00, 0x0e, 0x91, 0x17, 0x84, 0xac} {0x00, 0x0b, 0x90, 0xda, 0x6a, 0x56} 100008     8 10.2.2.1
8    8    4    {0x00, 0x0f, 0x62, 0xd3, 0xb9, 0xcc} {0x00, 0x11, 0xe0, 0x7a, 0x1a, 0xc2} {0x00, 0x10, 0x46, 0x85, 0xd6, 0xc8} 100009     9 10.8.8.1
2    2    1    {0x00, 0x12, 0x88, 0x44, 0xeb, 0xf4} {0x00, 0x13, 0x49, 0xbd, 0x68, 0x90} {0x00, 0x10, 0x46, 0x85, 0xd6, 0xc8} 100010     10 10.2.2.1
11   11   20   {0x00, 0x14, 0xcb, 0xdf, 0x73, 0xf1} {0x00, 0x16, 0xe5, 0x8c, 0xea, 0x9e} {0x00, 0x15, 0x52, 0xb7, 0x15, 0xa7} 100011     11 10.11.11.1
2    2    80   {0x00, 0x17, 0x35, 0xcd, 0x22, 0x71} {0x00, 0x18, 0xc8, 0xfe, 0x6f, 0x6d} {0x00, 0x15, 0x52, 0xb7, 0x15, 0xa7} 100012     12 10.2.2.1
12   12   21   {0x00, 0x19, 0xb3, 0x26, 0xec, 0xac} {0x00, 0x1b, 0xf7, 0xf1, 0x28, 0x96} {0x00, 0x1a, 0x91, 0xda, 0x7b, 0x04} 100013     13 10.12.12.1
2    2    102  {0x00, 0x1c, 0x89, 0x55, 0xf2, 0x57} {0x00, 0x1d, 0x7f, 0xdf, 0xd4, 0x8b} {0x00, 0x1a, 0x91, 0xda, 0x7b, 0x04} 100014     14 10.2.2.1
